Question,Even_Further_Improved_Cleaned_Answer
请问，除了u盘，还有什么方法可以把一台台式电脑上的软件和文件复制到另一台台式电脑上对应位置吗,软件用U盘也办不到吧，除非是绿色软件;可以系统迁移;等你新电脑到了预约吧;不过我们一般不上门，你要把电脑搬过来;（仅主机？）;工作室有很多显示器可以用[表情];好滴谢谢;我是不是要搬两个主机;对;好谢谢;其实可以拆两个盘下来;不会拆
我想问一下我的mac地址不知道为什么一直是88：88：88：88：87：88但是之前一直没注意，这学期大二搬过来我发现有个人的mac和我撞了，现在就是我们两个上网好像冲突了，请问这种情况要怎么办啊,2023-09-17;21:50:51;【管理员】【IT侠】撒比~警惕旧电脑升级Win11<sakiyary19@qq.com>;这个事情我碰到过;改mac是不是要下什么软件;2023-09-17;21:57:41;2854774057(2854774057);;[图片]是这个吗;2023-09-17;22:00:37;2854774057(2854774057);;值是随便改吗;2023-09-17;23:24:47;【小白】NeoTheHero(1457001877);;小概率事件;好的谢谢;@【IT侠】撒比~警惕旧电脑升级Win11;@【IT侠】撒比~警惕旧电脑升级Win11;什么现身说法;2023-09-18;9:50:26;【小白】她倾、他城(3080689485);;笔记本电池灯一直亮橙色灯，已经开不了机了，应该咋办呀[表情][表情];插电;橙色灯就是没电了;@她倾、他城;@她倾、他城;看一下闪烁频率;几长几短
请问it侠能帮忙安装一下笔记本电脑显示屏吗,不太能;行;可以约一单看看;有的还是能换的;水龙会出手;[图片];@[IT侠]水龙;@[IT侠]水龙;好那我等等看;谢啦
请问yoga14s突然找不到相机了怎么办呀[图片],看一下有没有物理开关，检查一下驱动;联想一直是有物理开关的好像;联想线下客服说yoga14s经常发生摄像头线短路的问题，也可以留意一下;找不到摄像机的驱动[图片];@丷虫鸭丷;@丷虫鸭丷;短路是要去修吗;我是摄像头短路引起屏幕频闪，去把摄像头线直接拆掉了，如何维修我不清楚欸~;好的谢谢;2023-09-18;19:16:18;【小白】东八区区花<wenzihan0730@foxmail.com>
请问这是什么情况哇[表情],2023-09-18;19:18:49;【IT】‭‭(1796389814);;这个感觉得预约了去现场排查一下;2023-09-18;19:19:20;【IT】‭‭(1796389814);;如果你会进高级启动可以进去看看闪不闪，不闪卸载一下更新;;2023-09-18;19:19:33;【小白】东八区区花<wenzihan0730@foxmail.com>
明天急用电脑 请问现在能来吗[表情],2023-09-18;19:19:57;【小白】412前台小妹（远程）(948001371);;先预约;怎么是boot;manager，这两天没摔到吧;[惊吓]请使用最新版手机QQ体验新功能;2023-09-18;19:31:59;【小白】东八区区花<wenzihan0730@foxmail.com>;2023-09-18;19:33:41;【小白】412前台小妹（远程）(948001371);;@东八区区花;有同学联系你了，看一眼短信;想问下it侠今天有空接单嘛～（昨天已经去预约了）;2023-09-19;9:30:07;【小白】412前台小妹（远程）(948001371);;@_;这个问题涉及到拆屏幕;因为我们并不是每个同学都会拆屏幕;而会拆屏幕的同学尚没有主动接单;所以我们还在讨论解决方案;2023-09-19;9:31:34;【小白】412前台小妹（远程）(948001371);;IT侠的同学都是自愿接单的;所以对于一些少部分人才会解决的问题可能会慢一些;2023-09-19;9:35:15;【小白】_(1589422141);;嗷好～;2023-09-19;9:35:16;【小白】_(1589422141);;谢谢;2023-09-19;10:43:29;【小白】Bobo_alcazar(506169680);
@[IT侠]及时备份数据，善用搜索引擎 想请问下有没有预编译的发布,2023-09-19;10:43:39;【小白】Bobo_alcazar(506169680);;还是只能自己编译来用;2023-09-19;10:43:50;【小白】Bobo_alcazar(506169680);;啊，好的，我看看;看到了，抱歉抱歉。;看来是我GitHub不太熟悉，我以为这里没显示就是没有release[图片]
诶请问这个开源实现和原来的版本区别在哪里呢,2023-09-19;10:51:22;【管理员】【IT侠】撒比~警惕旧电脑升级Win11<sakiyary19@qq.com>;无后门;不会出现部分网络问题;对linux支持好;明白了，感谢;[图片]
请问这就算是连上了吗？,[图片];似乎仍无法连上知网;2023-09-19;11:17:51;【管理员】[IT侠]及时备份数据，善用搜索引擎(3387257974);;我建议直接去问作者;@【IT侠】撒比~警惕旧电脑升级Win11;这样吗
@[IT侠]及时备份数据，善用搜索引擎 请问可以介绍一下吗（,不知道作者在不在群里;你都找到github页面了，提issue或者去看看他主页上有没有留邮箱，博客之类的;2023-09-19;11:36:18;【前辈】[IT侠]BUG人肉排雷者(1586608241);;他没开浏览器插件吧;@[IT侠]及时备份数据，善用搜索引擎;@[IT侠]及时备份数据，善用搜索引擎;好的;谢谢！;一直打开不了wifi是为啥[图片];可以搜一下err_proxy这个报错;好;哦我知道了我的梯子没关;我想问一下，戴尔笔记本开机一直黑屏，而且充电提示灯黄白交替闪烁，这是什么怎么了？;@尘埃;看看闪烁的规律;2-4;反正先预约吧;嗯嗯;您好，我已经预约了@412前台小妹（兼职）;什么时候可以来修;[图片];电脑一打开就是这个界面;请耐心等待同学联系;[图片];哦哦哦;@--;掉盘了;@出10700f+z490+内存+各种风扇;那还能修吗？;把笔记本后盖打开搞紧一点;或者换个槽位;如果都不行可能是硬盘坏了;得要换个;小几百块;哦哦哦;好的
请问vscode用ssh连不上远程服务器，具体报错是Bad owner or permissions on C:\\Users\\\345\260\217\350\201\252\347\202\271\347\202\271\345\244\264/.ssh/config应该咋办啊，网上找了各种解决办法都没用,改权限;.ssh文件夹的权限吗;ssh配置文件应该是只能当前用户可读;改了还是不行[表情];@30;话说我这个用户目录后面的一串数字是什么;@30;你用了中文目录吧;还真是;[表情][表情];但是中文名应该不影响ssh啊;不影响;但是显示的时候会显示汉字的编码;[表情]了解了;宿舍里的NJU-WLAN手机连接可以上p网，电脑连接进p网却显示dns查找不到，这该怎么办呀[表情];2023-09-19;22:28:28;【前辈】[IT侠]BUG人肉排雷者(1586608241);;又是什么膜法;2023-09-19;22:29:13;【管理员】【IT侠】撒比~警惕旧电脑升级Win11<sakiyary19@qq.com>;呢喃官方dns啊;njuwifi是不是有无线隔离;想把宿舍主机当服务器用只能内网穿透？;@【IT侠】撒比~警惕旧电脑升级Win11;@【IT侠】撒比~警惕旧电脑升级Win11;感激[表情][表情][表情];2023-09-20;9:11:31;系统消息(10000);;【IT侠】撒比~警惕旧电脑升级Win11的消息被设为了精华消息;芒鹿文化15951893232加入本群。;问问电脑网络能用（可以发消息）但是网页打不开是怎么回事啊;[图片];你可以搜索一下报错;err_proxy;感谢，解决了
请问一下有备用电脑可以申请嘛[表情]流程是什么样的,预约;暴风雨后加入本群。;已经预约了[表情]是等检修之后就可以嘛;已经有同学联系你了，修的时候和他沟通就可以了;好的谢谢！;;2023-09-20;19:50:15;【小白】东八区区花<wenzihan0730@foxmail.com>
请问安装seafile的时候出现这种情况怎么处理呢[表情],2023-09-20;19:51:26;【管理员】[IT侠]及时备份数据，善用搜索引擎(3387257974);;装别的地方去;2023-09-20;21:01:07;X.(1075720850);
请问要换硬盘的话应该如何选购呢,首先考虑容量;固态最近涨价了好像;@X.;@X.;预算容量;用途;再确定你要买啥;噢噢！;就是日常用;看看文献啥的;预算1000以内[图片];多少容量;1000可以买p44pro;2t;或者sn850x;2t;1000随便买都够了吧我猜;@hello，时饱饱;@hello，时饱饱;错啦，还有三星990pro呢;[图片];我上个月在pdd买的p44pro;2t;差不多950;不过建议你先查查你电脑支不支持pcie4.0;p44pro的话有点热我记得;笔记本可能sn850x好一点吧
@记得补考离散 @记得补考离散 请问是这个嘛~[图片],我建议pc005[表情]就一个盘的话;对;好的！谢谢大家;[图片];[图片];三星还是别考虑了，太贵了;@数据常备份/预约带电源/提问请上图/Minaduki;@数据常备份/预约带电源/提问请上图/Minaduki;这个里面rc20和p44Pro都不适合笔记本，温度压不住;确实如此;宏碁那个gm7也不错;当系统盘还是原厂吧;副盘倒是随便买;两边际加入本群。;犀焰加入本群。
请问u盘被同学借过去在实验室电脑上拷文件，正常弹出之后再使用，发现文件全没了，u盘名字也变成可移动磁盘了,这种情况能把丢失文件全恢复吗。。。;以及有什么推荐的数据恢复软件/方法吗;2023-09-20;23:17:36;【IT侠】撒比~警惕旧电脑升级Win11<sakiyary19@qq.com>;等一个可靠的方案;2023-09-20;23:17:50;犀焰(1137716625);;omg;我现在插进电脑才发现的问题;2023-09-20;23:18:16;犀焰(1137716625);;好;[图片];这个不像是中毒像是直接寄了吧;啊啊啊？;我记得我实验课旁边的人好像也遇到过这种情况;找专业的吧;如果不是很重要的话;干脆不要了;专业的非常贵;有没有可能是插到实验室电脑上自动格式化了;大概会贵到什么程度;没有，因为我用过两次是好的;更有可能是无法恢复;有比较多的实验数据
我还是倾向于修复。。。请问有什么专业途径推荐吗,不能去实验室再拷一遍吗
请问重装系统后edge同步一直显示正在设置同步怎么办呀,[图片];刚刚在412修了的那台华硕电脑;又出现蓝屏了，咋弄呢
呜呜救命，我刚刚不小心把一杯水泼在电脑上了，然后赶紧关了机倒扣过来倒出来了一点水，请问然后需要怎么办呀？,"2023-09-21;22:47:50;【IT侠】撒比~警惕旧电脑升级Win11<sakiyary19@qq.com>;明天来工作室;2023-09-21;22:49:52;风露清愁(352922898);;好的好的，谢谢！;[图片];没重要的东西可以直接重装系统，或者是把重要东西备份出来后重装;超出能力范围;有个u盘就行;网上一堆傻瓜教程;写的很详细的;一步一步跟着做就行;不如找同學;一般是桌面，還有那些在user底下的文件(download,;pictures等)，qq和微信的聊天記錄那些先遷去其他盤，不然重裝就沒了;…淘宝的话，我觉得不如干脆360（;虽然是流氓，至少也算个黑帮教父）;我也是C盤滿了，前兩天直接格式化重裝;@新一仔;@新一仔;重装的话所有软件都需要重新下载吗;或者试着约IT侠吧;也就十來個軟件;先截個圖就行;@C8H17OH;虽然迄今没有IT侠的同学出现，我不知道我这样建议好不好（）;其他的用到再裝;不過我大部分軟件裝在D盤，所以影響不大;可以;预约吧;不过不保证时效哦;感觉最近工作室很忙;[图片];或许有朋友知道怎么把回收站右击这个图标去掉;吗;@好运来Pro;@好运来Pro;你这是装的啥软件加了这个菜单项;搜了搜好像是WPS;啊？;UI风格确实像（;那G是什么的开头）;要么是卸了这个软件；如果单纯删菜单项，得改注册表，具体百度吧（）"
请问412还有人吗，我在那落了点东西，应该是一袋梨…,
请问一下装ubuntu的时候选择try or install ubuntu之后，卡在机器品牌logo无法安装可能是什么原因呢，机器是暗影精灵9slim,[图片]一直卡在这个界面，风扇在转;可能只是单纯你做启动盘的U盘太慢了或者那个接口不好;[图片];2023-09-23;14:26:08;【小白】[IT侠];张致远（小白）(2765206099);;[表情];@Poised;想来就预约;觉得没必要就不用预约了;预约也许可以获得一些心理上的安慰;2023-09-23;15:22:49;【IT侠】撒比~警惕旧电脑升级Win11<sakiyary19@qq.com>;来的话我就直奔工作室了;2023-09-23;15:23:31;(643280193);;如果电脑灰太多了;可以预约吗;2023-09-23;15:23:57;(643280193);;（虽然我已经约了）;我约的是周二周三，但是我觉得周末是最合适的;2023-09-23;15:50:46;Poised(2597912359);;抱歉我已经到售后店了;他们联系我让我立刻过去;快进到换主板2000块;啊这;这是无奈之举吗;官方店要恰饭的嘛;我一个cs同学让我晾一星期;不用电吹风;有时候给你的维修报价甚至可以买一个整机二手;没事，多半晾完一星期之后还是得去维修店，最后一看价格还是得买台新的;他这个大概率已经坏了，再晾也没用;你这个主板烧了凉不凉没区别;你如果就倒了10ml还能晾;hdmi线存在超频这一说吗;2023-09-23;18:14:50;记得补考离散(1664262451);;啥叫hdmi超频;我的线一开始连显示器只有2k60hz，然后我分辨率调到1080p之后可以调成144hz了，我再调回2k居然能继续144hz;我有点担心会不会出问题。。。;虽然使用起来好像没异常;不知道从哪翻出来的;电脑触控鼠标能动但是点不了东西是怎么回事;而且正常的时候是不是就有风扇的声音，现在充电都充满了，也没有风扇的声音;2023-09-23;21:33:08;【小白】[it侠]鹿转(2408164955);;复活了，但是没完全活;[表情]毕竟进水量不少）;他说fortunately主板没坏;当时也帮我拆开擦干，吹干水分;在店里确实是可以使用;结果回来又有小毛病
xdm 我昨天玩apex死机了，就按什么都没反应也退不出桌面，我就尝试机箱重启，重启后就发现机箱有反应，但是屏幕没反应，键盘也不亮。请问大神们这是什么情况？[表情],密客炸的;“让他们重启”;是不是机箱里面哪里接触不良或事电压不够？;我也不懂;就没有物理上的移动震动啥的;应该不会突然接触不良;应该没有物理移动过;就怪apex;md！;不妨再重启试试;还真是;Apex真不行;我试过所有断电再重启;发现好了，后面过了一会儿又屏幕又灭了;;2023-09-24;12:46:57;【小白】♚♂Owl╰☆♚<futurestar.fs@qq.com>
请问小米11ProCPU虚焊，想保数据有办法吗[表情][表情],直接找售后;2023-09-24;13:19:19;【小白】[it侠]鹿转(2408164955);;不可能给你单换cpu的;2023-09-24;13:20:12;【IT侠】出10700f+z490+内存+各种风扇(895761580);;手机的cpu都是焊死的;没有例外;2023-09-24;13:20:35;【IT侠】出10700f+z490+内存+各种风扇(895761580);;如果想花小钱解决可以去找第三方;同时风险自负;至于保数据也要问售后;2023-09-24;13:24:36;【小白】♚♂Owl╰☆♚<futurestar.fs@qq.com>;大致了解情况了，谢谢大家~
请问重装系统可以找it侠吗,可以，预约;在系统上发了几次都显示预约不成功;看看错误代码;截图看看呢;[图片];ok;收到;好像确实炸了[表情];@biu;似乎好啦;再试试呢;预约成功啦，谢谢～;（;啊原来是克苏鲁啊（装傻;[图片];它要干嘛[表情];给你播放NJU校歌;妈呀;@Bobo_alcazar;你是文院的麼;是;從你的字体看出来了;那個请字;[表情];一般文字學的人較鍾情靑字;是;从“丹”嘛;哈哈
请问电脑接显示器麦克风就特别糊，不接麦克风就没问题，这种情况怎么解决,耳机是直接接的电脑上
请问电脑下方任务栏不显示图标怎么解决啊[表情],[图片];是刚开机吗？;是的，重启了很多次;今天白天就不行;我的也这样[表情];你这个看上去是;surface？;是的;我的也是[表情];不过我启动后等大概十分钟就会慢慢加载出来;那我等等吧;浏览了匡亚明学院网站后电脑寄了;起因是匡院网有个下拉菜单，鼠标移上去后一直闪，关掉浏览器还在闪，重启电脑也不行;还会把鼠标自动移到左下角;网页真的有这个能力吗（;匡院tql;2023-09-29;12:22:19;【小白】墨鱼<liule95@qq.com>;[打call]请使用最新版手机QQ体验新功能;@Hronrad;v個匡院網頁看看實力（）;dii.nju.edu.cn/main.htm;哦哦好的;不過没能復現出来;@新一仔;感觉得看型号和怎么个不灵法，有的情况可能需要你自己买一个小板替换？;[图片];@【IT侠】一款吉祥物;@【IT侠】一款吉祥物;是這種類型的。插進去都是外放的。需要旋轉很多次可能才行;基本上已經壞了;怎么耳机还要前戏的;[图片];我還是買個外置的就好了;拆机看出来如果是在小板上可以换;还有如果你c口闲置的话买个c转3.5的那种专门做这种小尾巴dac的厂的可能音质会好一点（;好的我今晚拆出来looklook;[图片];我用adobe;acrobat;的ocr扫描功能处理一个由照片组成的pdf文档，处理之后没有什么变化。但我把文档导出成图片时出现了一张原图一张增强的图像;所以后面那张是adobe处理过的吗;如果是的话，在adobe上怎样找到呀？;还有就是adobe导出图片有时候会导得有点奇怪;[图片];像这种;是什么原因呀;hi;可以借一套蓝牙键盘鼠标么[表情];我们有的蓝牙键鼠应该都是社员的私人财产;我猜不行;好的！[表情]
请问设备硬件出现致命错误，导致请求失败,是要怎么解决呢;是物理原因吗;解决了;在网上装了个雷蛇老版本驱动，现在一开机内存就一直涨，然后就爆了提示task;manage未响应;是不是装到病毒了;2023-10-01;0:31:32;【管理员】[IT侠]水龙(1968307502);;听起来很离谱;但是对于硬件/外设厂商写的驱动来说大概是很正常的是;2023-10-01;0:33:24;【管理员】[IT侠]水龙(1968307502);;前几天我看到的一个是华硕的键盘按某个键会发送poweroff;导致linux系统关机（;问一下电脑总会突然蓝屏报错怎么办啊;需要具体问题具体分析的;如果有蓝屏的图片会更好判断;薛定谔的皮皮虾撤回了一条消息;[图片];就是这种;烛火加入本群。;@薛定谔的皮皮虾;@薛定谔的皮皮虾;加一！我也来问问，今天一上午已经出现两次了;[图片];可以预约试试;@[IT侠]及时备份数据，善用搜索引擎;@[IT侠]及时备份数据，善用搜索引擎;好的谢谢
请问怎么能用上可靠的gpt？目前也不知道怎么在tb买TT,有梯子但是不知道怎么能用上;[图片];用梯子上GPT官网;淘宝十块钱买个账号就可以了;可以试一下国内的一些镜像站;geek;gpt之类的;@追求性价比在闲鱼买电子产品其实还可以;@追求性价比在闲鱼买电子产品其实还可以;求推TT;淘宝把查找页面封掉了;@[IT侠]及时备份数据，善用搜索引擎;@[IT侠]及时备份数据，善用搜索引擎;我百度了镜像站，怎么都登不上去的样子;后面再讨论就要撤回禁言了吧;https://chat1.geekgpt.org;不建议在这里讨论代理问题;好的明白，谢谢！;不知道这么严重;群公告第一条并且指定发给新成员的;嗯嗯了解了，谢谢提醒;澄加入本群。;有;好好，谢谢;@_;现在在工作室;[图片];那我现在过来好了;[图片];✓;我拿到了;谢谢;[图片];[图片];@[IT侠]重启解决50%问题;@[IT侠]重启解决50%问题;第几代最好用呀;捞捞有无人帮忙看看linux虚拟机无法启动的问题[表情];预约;@246;@246;一代;便宜好用;三代纯纯骗钱;二代和一代基本上就重量轻一点;但是多200块;最大的痛点还是micro;usb;苹果换typec加了一两千;罗技换typec加两百不过分吧;M42w;推荐一下;@Vendredi;@Vendredi;确实;不过双十一估计不到300;还是香的;@记得补考离散;谢谢哥;[图片]
请问怎么和预约接单的同学联系,预约系统上已经接单三天了但是没有人联系我;我去问问（;稍等，我看一眼;想问下电脑屏幕撕了个膜之后变成这样还有救吗[图片];这是胶留在上面了？;我还以为屏幕坏掉了要使劲擦吗;这是把液晶屏的偏振膜撕了？;[图片]看着有点瘆人;@Bobo_alcazar;@Bobo_alcazar;苹果电脑自带的吗，我记得是之前自己贴的呀;噢噢，那就没事儿了，擦干净就好了。;确定是玻璃屏就没事儿。
请问D盘变成这样子了可以恢复吗[图片],得看看具体是什么问题;是没有办法点进去吗[表情];是的;[图片]
请问有大佬分享下dell g15 5511的充电方案吗,每天背大砖头有点累了;换轻薄本;续航调好了半天肯定没问题;网卡的;去对应品牌官网下载;现在是去找另外一台电脑，从联想官网里面下载一个网卡驱动，是要装在一个空的U盘里面吗？;不用空u盘;是个u盘就行;或者手机下载一个;然后用线传到电脑上;好，我先试试
请问硬盘灯亮着但是在笔记本上无法显示是什么问题呀,[图片];显卡这种问题能修吗（）;不好说;[图片];[图片];你找对版本了吗
请问宿舍的网络玩游戏时会丢包要怎么排查呢,2023-10-10;9:40:40;【小白】记得补考离散(1664262451);;这是校园网问题吧;2023-10-10;9:40:48;【小白】记得补考离散(1664262451);;或者马服特色;2023-10-10;9:41:00;【小白】重装不如重买(2655764382);;啥游戏;2023-10-10;9:41:06;【小白】Fibonacci(1363650301);;lol和瓦[表情][表情];2023-10-10;9:41:18;【小白】记得补考离散(1664262451);;那就是马服特色;2023-10-10;9:41:23;【小白】重装不如重买(2655764382);;还真是;2023-10-10;9:41:25;【小白】记得补考离散(1664262451);;而且校园网本身延迟就不低;2023-10-10;9:41:40;【小白】记得补考离散(1664262451);;没超过80延迟就算正常;2023-10-10;9:42:23;【小白】Fibonacci(1363650301);;lol右上角延迟一直稳定在35左右，但是每过一两秒就会丢包导致人物瞬移;2023-10-10;9:42:35;【小白】记得补考离散(1664262451);;正常;2023-10-10;9:42:48;【小白】记得补考离散(1664262451);;你试试换网线别连wifi;2023-10-10;9:42:52;【小白】重装不如重买(2655764382);;确实;2023-10-10;9:42:54;【小白】记得补考离散(1664262451);;可能会好一点;2023-10-10;9:42:58;【小白】重装不如重买(2655764382);;网线质量还可以;2023-10-10;9:43:08;【小白】Fibonacci(1363650301);;好的，我试试看
笔记本电脑进水晾干一周后能正常使用，但是屏幕有黄色板块和水纹，请问还能好嘛,[图片]
请问c盘内存不足1G了该咋整,@宣纸墨;预约吧;好滴;谢谢
请问电脑连不上校园网是怎么回事啊，手机连的好好的,[图片];电脑显示的是这个页面，连手机热点也没有问题，就是登不了校园网;@醒目露露;刚刚看到群公告里的语雀文档，已经处理好啦;我也遇到了;edge打不开;但是qq浏览器就能打开;少游加入本群。;Stacey加入本群。;Agave加入本群。;Wine灬Wither加入本群。;昵称不能为空加入本群。;辰加入本群。;瞫蓂加入本群。;[图片];[图片];电脑蓝屏了;是要等它自动重启吗;可以手动）;好;长按;[表情]太久不关机会导致蓝屏吗;半个月没关机了;不知道为啥会蓝屏;查查错误代码，或者重启后找dump);OK;但到现在还没学会分析dump[表情];看着像是内存炸了）;之前有一次代码的内存泄露给我整蓝屏了）;有可能;刚才在debug;[图片];这应该意思是memory的问题吧;@Late;Homo;Sapiens;捞捞;[表情];什么叫“只显示一部份区域”;这个真的不是缩放倍数的问题吗;就是它有个框框;然后只能看框里的;缩放之后那个框还在;哦等下;我好像发现这样也不影响我看;那没事了;[图片]
请问今天it侠们有时间吗，在仙林，和室友想预约清灰,@李;预约的话走预约系统即可～;一台电脑约一单哦;预约了，但还没回复;今天可以吗;那先等回复吧;好的;2023-10-12;18:19:28;Sowa;Minerwy(948001371);;@Nicholas;预约吧;2023-10-12;18:20:14;助教;刘斯宇<a824703398@qq.com>;谢谢;问下，换硅脂的时候把硅脂弄到主板上了咋办（;[表情];把主板一起换了（）;不存在的;擦呗;还能咋办;[图片];还好不是液金;擦呗(;ﾟ∀。)7;用棉签嘛;啥电脑;笔记本的擦擦就行;电脑的要是进主板针脚座里了拿洗板水或者精密电子溶解洗;溶剂;2023-10-13;8:12:11;【小白】薛定谔的皮皮虾(1359834369);;有同学会装屏幕嘛电脑屏幕坏了，买了个替换屏;2023-10-13;8:18:30;【小白】幻影Hazer(331327543);;可以预约it侠;哇;废物本废加入本群。;2023-10-14;9:44:42;从前从前╰﹀(1050436038);
电脑出现这个报错，开机就在响，请问该怎么办呀[图片],2023-10-14;9:54:09;[IT侠]及时备份数据，善用搜索引擎(3387257974);;看起来有个风扇坏了;2023-10-14;9:55:13;系统消息(1000000);;我恁爹加入本群。;2023-10-14;9:58:27;从前从前╰﹀(1050436038);;这得换了吗;2023-10-14;9:58:34;[IT侠]及时备份数据，善用搜索引擎(3387257974);;对;IT侠可以帮忙换吗[表情];可以换;[图片];就在今晚，欢迎大家前来[表情];Y加入本群。;2023-10-14;16:26:39;【小白】[IT侠]提醒关代理小助手(2795805763);;截图看看报错;看一眼edge具体显示的什么;2023-10-14;16:27:43;1561691000<yang1561691000@qq.com>;[图片];2023-10-14;16:31:48;【小白】【IT侠】一款吉祥物(2385349487);;检查一下可能，设置→网络→代理→关闭？;2023-10-14;16:33:49;1561691000<yang1561691000@qq.com>;进B站正常，其他网站不行;2023-10-14;16:53:30;【IT侠】一款吉祥物(2385349487);;友情提示：如有想去逸B205听蒋老师的分享的同学，可从B区（逸夫楼靠近仙一教学楼一侧）进入并由右手边楼梯上2楼后，参考以下路线到达对应教室。;[图片];最稳的就是买个sata固态;还得报批吗;有几个选择;[图片];是的;1;买个1t的;机械整个不用;全迁移到新固态上;2;买个256/512的;系统迁移到固态上;部分数据保留在机械上;这个要看你现在c盘吃了多少;C盘现在，总的518，还剩370;那买个256的也行;方法2的话要主板供电线那还留着一个sata供电和sata数据口;刚刚给忘了;反正你一定要知道能加什么的话可以预约拿过来拆开来看看;OKOK;[图片]
请问笔记本电脑触摸板双指滑动仍然没法滑动电脑页面是什么情况呀？单击是可以的[表情],去windows设置里找找有没有开关;好滴，谢谢！;2023-10-17;8:01:11;2834813743(2834813743);
请问校园网账号被冻结是什么情况呀,2023-10-17;8:01:29;【管理员】电脑进水不要开机！！！(928861918);;校园网寄了;2023-10-17;8:01:46;【管理员】电脑进水不要开机！！！(928861918);;认证服务器出问题了;2023-10-17;8:03:13;2834813743(2834813743);;那是不是用不了了现在;2023-10-17;8:03:19;2834813743(2834813743);;要等他好吗;2023-10-17;8:21:15;【管理员】电脑进水不要开机！！！(928861918);;等呗，好像有的地方也能用了;2023-10-17;8:30:11;【小白】幻影Hazer(331327543);;信息化中心的人说现在是排障期，不用p站认证也能上网;2023-10-17;8:32:44;2834813743(2834813743);;密码变成身份证了，好像能用了;2023-10-17;8:34:09;【小白】訫(2840976713);
@沛意天下 @沛意天下 请问是p2. nju.edu.cn嘛，昨天还上得去，今天好像不行,2023-10-17;8:37:52;2834813743(2834813743);;好像上不去;转自escience中心;心如止水的老司机加入本群。;主板有2个m2硬盘位，想加个512g的硬盘，it侠有无推荐;可以咬咬牙多加点，2T也不太贵了（;问了是2280长度
你好it侠，我的mac电池鼓包了，请问提供电池更换服务吗[表情],加硬盘尽量1t起步吧;2t性价比最高;1t和512没差多少;太多用不完啊[表情];一般就差100;qq;微信;怎么用不完;用的很快的;建议等等;等用完了再后悔才麻烦（;现在固态价格高点;我手机就1tb内存了[表情];512现在200左右？;1t也300不到;[图片];那就上个1t的？;过几天双11区间再买;好捏;so;1t有无推荐;pcie3.0还是pcie4，0;@心如止水的老司机;你买好对应型号预约可换;@记得补考离散;@记得补考离散;这个在哪可以看（;台式的话查一下主板型号;建议看看3.0的就行了;笔记本建议问一下客服;用不出来区别的;4.0买了反正也能向下兼容;好滴
@[IT侠]水龙 嗯嗯好的，谢谢啦，请问电池有推荐的不@[IT侠]水龙,大动的非原厂的;@[IT侠]水龙;那确实;双11能降到400吗[表情];pdd上多少钱;470左右;现在双十一都感觉没啥优惠了;咸鱼能到420左右;@心如止水的老司机;@心如止水的老司机;可以的;请自备新电池;@DON'T;PANIC（已毕业）;好的好的，谢谢@DON'T;PANIC（已毕业）;@[IT侠]水龙;@[IT侠]水龙;rc20发热有点太多了吧;还有p44pro也挺热的;3.0的话sn570也还可以;笔记本可以把rc20排除，其他盘都不错;谢邀;笔记本上现在就装着RC20;[图片];pc005用着还不错，而且便宜;pc005适合买512的;1t的不如买tiplus5000;我买的1t的;512的也买了;三星的东西性价比有点低感觉;毕竟是高端厂
@DON'T PANIC（已毕业） 弱弱的问一下，请问提供苹果电脑键盘更换服务吗？,您问他是人在THU想找科服吗（;[图片];it侠这么厉害了吗;2023-10-17;18:24:40;【IT侠】DON'T;PANIC（已毕业）(1695711472);;很难;这个有点难度吧;好的，谢谢。到时候我预约看看，请你们看看是否可以一试？修不好就报废
请问大家，华为电脑（可触屏）最近屏幕指针会忽然抽风自己到处点，屏幕擦了膜撕掉了也没有用，会是什么原因呢[表情]貌似是触控板旁边的地方如果被压了就会触发,好像也没有特定情况，就是随时都有可能抽风，只不过有被压的情况尤其容易抽）;会有可能是你触控板出问题了吗，试过禁用触控板吗（;试了一下，不是触控板的问题）;唔把触摸屏关掉了，好像可以了，但是还有没有可能抢救一下;具体情况不清楚，您可以试试预约一下看看;是不是屏幕上有水;没完全干;2023-10-18;0:06:09;Ayermo(1421886187);;预约没有回复可以直接抱着电脑去it侠工位吗[表情];2023-10-18;0:15:48;【IT侠】一款吉祥物(2385349487);;[图片];2023-10-18;0:15:52;【IT侠】一款吉祥物(2385349487);;别啊;2023-10-18;0:16:06;【IT侠】一款吉祥物(2385349487);;而且我们那个不叫工位;2023-10-18;0:36:30;[IT侠]及时备份数据，善用搜索引擎(3387257974);;@Ayermo;@Ayermo;看起来有同学已经接单了，等他联系你;2023-10-18;1:23:38;Ayermo(1421886187);;好滴！;2023-10-18;5:50:05;系统消息(1000000);;太阳熊加入本群。;2023-10-18;9:35:00;偷走一年光(643280193);
请问一下,2023-10-18;9:35:10;偷走一年光(643280193);;如果开机没开什么程序;2023-10-18;9:35:24;偷走一年光(643280193);;但是磁盘占用率就几乎100%了;2023-10-18;9:35:31;偷走一年光(643280193);;这个是要怎么解决呀;推测是机械硬盘，可以考虑换掉了;[图片]
请问一下学校邮箱有没有查看对方是否已读的方式？谢谢,发送时勾选“需要回执”;沈迢加入本群。;再请教一下，我上次去装内存条的时候it侠同学告诉我两个内存条组成双通道会更好一些
